const_code,region_code,percent_leave,percent_remain
W07000058,W92000004,0.521971173,0.478028827
E14000994,E12000009,0.521900806,0.478099194
E14000794,E12000002,0.521680356,0.478319644
E14000686,E12000002,0.521666686,0.478333314
E14000776,E12000002,0.519890842,0.480109158
E14000552,E12000006,0.534053564,0.465946436
N06000001,N92000002,0.519433122,0.480566878
E14000811,E12000008,0.519275309,0.480724691
W07000068,W92000004,0.518550864,0.481449136
E14000983,E12000008,0.51851554,0.48148446
E14000756,E12000003,0.518508416,0.481491584
E14000690,E12000007,0.523675991,0.476324009
E14000538,E12000008,0.517879098,0.482120902
E14000884,E12000008,0.497393742,0.502606258
E14000559,E12000002,0.527042226,0.472957774
E14000985,E12000005,0.483522281,0.516477719
E14000947,E12000009,0.516530941,0.483469059
E14000846,E12000009,0.516345075,0.483654925
E14000635,E12000009,0.515858182,0.484141818
E14000644,E12000006,0.515144818,0.484855182
E14000890,E12000008,0.515101462,0.484898538
E14000563,E12000005,0.508121789,0.491878211
E14000845,E12000006,0.514300732,0.485699268
S14000009,S92000003,0.51339391,0.48660609
E14000984,E12000007,0.512838788,0.487161212
E14000910,E12000006,0.512395335,0.487604665
E14000664,E12000004,0.512354118,0.487645882
E14000566,E12000005,0.541512631,0.458487369
E14001021,E12000006,0.511519779,0.488480221
E14001018,E12000002,0.511100543,0.488899457
E14001031,E12000009,0.510392986,0.489607014
E14000977,E12000005,0.510016675,0.489983325
W07000041,W92000004,0.509420042,0.490579958
E14000623,E12000009,0.508869519,0.491130481
E14000941,E12000006,0.508843534,0.491156466
E14000745,E12000006,0.508365256,0.491634744
E14000784,E12000004,0.508359919,0.491640081
E14000633,E12000008,0.507327707,0.492672293
E14000628,E12000006,0.506832006,0.493167994
E14001024,E12000002,0.50552837,0.49447163
E14000748,E12000004,0.505480276,0.494519724
E14000678,E12000009,0.504076662,0.495923338
E14000651,E12000005,0.503794929,0.496205071
E14000539,E12000008,0.503477977,0.496522023
E14000932,E12000009,0.503281438,0.496718562
E14000654,E12000007,0.487376367,0.512623633
E14000860,E12000009,0.503021498,0.496978502
W07000073,W92000004,0.502766239,0.497233761
E14000797,E12000004,0.500904207,0.499095793
E14000645,E12000003,0.500553492,0.499446508
E14000571,E12000002,0.500392038,0.499607962
E14001010,E12000002,0.525012823,0.474987177
E14000912,E12000009,0.499081401,0.500918599
E14000634,E12000007,0.49880471,0.50119529
S14000046,S92000003,0.498731967,0.501268033
E14000907,E12000008,0.498469717,0.501530283
E14000604,E12000007,0.496989979,0.503010021
E14000796,E12000002,0.498207198,0.501792802
E14000534,E12000008,0.497011058,0.502988942
E14000821,E12000008,0.496650905,0.503349095
E14001059,E12000002,0.496480992,0.503519008
N06000002,N92000002,0.496447513,0.503552487
E14000906,E12000007,0.495438455,0.504561545
E14000753,E12000008,0.494864101,0.505135899
E14000956,E12000008,0.494121812,0.505878188
W07000046,W92000004,0.493087327,0.506912673
E14000680,E12000008,0.492743694,0.507256306
E14000744,E12000006,0.492372345,0.507627655
E14000691,E12000007,0.479370018,0.520629982
E14000550,E12000008,0.490062673,0.509937327
E14000979,E12000002,0.489054855,0.510945145
E14000608,E12000008,0.488708672,0.511291328
E14000702,E12000009,0.487730339,0.512269661
E14000886,E12000003,0.485843639,0.514156361
E14001056,E12000008,0.484619161,0.515380839
S14000004,S92000003,0.482443342,0.517556658
W07000054,W92000004,0.480645083,0.519354917
E14000831,E12000001,0.480030798,0.519969202
E14000893,E12000008,0.479769787,0.520230213
N06000006,N92000002,0.479742559,0.520257441
E14001032,E12000007,0.479650184,0.520349816
E14000708,E12000002,0.479628137,0.520371863
E14000991,E12000009,0.479241838,0.520758162
E14000830,E12000008,0.478055628,0.521944372
E14000694,E12000008,0.477807571,0.522192429
N06000013,N92000002,0.476401748,0.523598252
E14001006,E12000001,0.476370041,0.523629959
S14000036,S92000003,0.476138884,0.523861116
E14000850,E12000009,0.475836991,0.524163009
E14000731,E12000007,0.497066093,0.502933907
W07000061,W92000004,0.474282288,0.525717712
E14000824,E12000008,0.473113276,0.526886724
E14000560,E12000005,0.437517315,0.562482685
E14000802,E12000002,0.471837972,0.528162028
E14000730,E12000003,0.471793551,0.528206449
E14000786,E12000008,0.471421738,0.528578262
E14000601,E12000009,0.472841844,0.527158156
